UpdateDegree,DegreeType
A/T MATERIAL PROC & FABRIC TEC,Associate's
A/T MATERIAL PROCESSING & FAB,Associate's
A/T WELDING TECHNOLOGY,Associate's
AA,Associate's
AA    AWARDED APRIL 24 2001,Associate's
AA    BACHELOR OF APPLIED SCIENCE,Associate's
AA    BACHELOR OF ARCHITECTURE,Associate's
AA    BACHELOR OF ARTS,Associate's
AA    BACHELOR OF ARTS IN EDUCATION,Associate's
AA    BACHELOR OF BUSINESS ADMINISTRATION,Associate's
AA    BACHELOR OF COMPUTER ENGINEERING,Associate's
AA    BACHELOR OF FINE ARTS,Associate's
AA    BACHELOR OF HEALTH SERVICES,Associate's
AA    BACHELOR OF PUBLIC MANAGEMENT,Associate's
AA    BACHELOR OF SCIENCE,Associate's
AA    BACHELOR OF SCIENCE IN COMPUTER ENGINEERING,Associate's
AA    BACHELOR OF SCIENCE IN EDUCATION,Associate's
AA    BACHELOR OF SCIENCE IN ELECTRICAL ENGINEERING,Associate's
AA    BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING,Associate's
AA    BACHELOR OF SCIENCE IN MEDICAL TECHNOLOGY,Associate's
AA    BACHELOR OF SCIENCE IN NURSING,Associate's
AA    BACHELOR OF SCIENCE IN OCEAN ENGINEERING,Associate's
AA    BACHELOR OF SOCIAL WORK,Associate's
AA    BACHELOR'S DEGREE EXPERIMENTAL,Associate's
AA    COMPLETED NCATE & FLA STATE APPROVED TEACHER,Associate's
AA    DOCTOR OF PHILOSOPHY,Associate's
AA    ED LEADERSHIP CORE WITH A SPECIALIZATION,Associate's
AA    EDUCATION SPECIALIST,Associate's
AA    MASTER OF ACCOUNTING,Associate's
AA    MASTER OF ARTS,Associate's
AA    MASTER OF ARTS IN TEACHING,Associate's
AA    MASTER OF BUSINESS ADMINISTRATION,Associate's
AA    MASTER OF COMPUTER ENGINEERING,Associate's
AA    MASTER OF EDUCATION,Associate's
AA    MASTER OF ENGINEERING,Associate's
AA    MASTER OF PUBLIC ADMINISTRATION,Associate's
AA    MASTER OF SCIENCE,Associate's
